"","Q7ST","CERTST1","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Très à gauche","1",28.1418475497526,641.025213111269,583,"2023-06-16",10600
"2","Plutôt à gauche","1",26.8263566047828,2727.99135978004,2761,"2023-06-16",10600
"3","Au centre","1",34.0938605243131,1761.10430100147,1795,"2023-06-16",10600
"4","Plutôt à droite","1",21.6486997327157,3066.22514316982,3232,"2023-06-16",10600
"5","Très à droite","1",19.6220133699591,1169.00438112173,1104,"2023-06-16",10600
"6","Très à gauche","1",25.1324353628435,649.034785936974,596,"2023-11-29",11691
"7","Plutôt à gauche","1",27.8527798972639,2932.2496175005,2965,"2023-11-29",11691
"8","Au centre","1",35.5706277470063,1999.68096650287,1984,"2023-11-29",11691
"9","Plutôt à droite","1",20.5657097534405,3323.24458099598,3555,"2023-11-29",11691
"10","Très à droite","1",16.0363577262552,1312.11038259055,1294,"2023-11-29",11691
"11","Très à gauche","1",19.9356958917659,661.517368465542,585,"2024-03-01",11770
"12","Plutôt à gauche","1",20.4686187704846,3024.02449209627,3059,"2024-03-01",11770
"13","Au centre","1",24.8050285116715,2016.21927852895,2018,"2024-03-01",11770
"14","Plutôt à droite","1",13.6258821657106,3378.5596341874,3587,"2024-03-01",11770
"15","Très à droite","1",10.3475627410661,1337.37752494593,1265,"2024-03-01",11770
"16","Très à gauche","1",18.6803329390877,686.668052807387,621,"2024-04-19",10651
"17","Plutôt à gauche","1",20.8356882631348,2731.23135410219,2741,"2024-04-19",10651
"18","Au centre","1",25.0239136472395,1760.32414067661,1734,"2024-04-19",10651
"19","Plutôt à droite","1",14.2722962436494,2956.4079141903,3132,"2024-04-19",10651
"20","Très à droite","1",9.66341623087435,1338.05576582006,1306,"2024-04-19",10651
"21","Très à gauche","1",17.7128221321921,700.11109769137,628,"2024-05-27",11430
"22","Plutôt à gauche","1",16.9556970442457,2913.19498587245,2951,"2024-05-27",11430
"23","Au centre","1",23.2802371091338,1762.0658295618,1753,"2024-05-27",11430
"24","Plutôt à droite","1",13.0714266143475,3401.22258175356,3596,"2024-05-27",11430
"25","Très à droite","1",8.38025841144577,1317.13091373496,1278,"2024-05-27",11430
